Image Path,Loss,Label
./dogs-vs-cats-redux-kernels-edition/train\cat.4085.jpg,6.484710693359375,0
./dogs-vs-cats-redux-kernels-edition/train\cat.7194.jpg,5.780587196350098,0
./dogs-vs-cats-redux-kernels-edition/train\cat.9444.jpg,5.576499938964844,0
./dogs-vs-cats-redux-kernels-edition/train\cat.11222.jpg,5.433437824249268,0
./dogs-vs-cats-redux-kernels-edition/train\cat.5355.jpg,5.209219932556152,0
./dogs-vs-cats-redux-kernels-edition/train\cat.7920.jpg,5.193733215332031,0
./dogs-vs-cats-redux-kernels-edition/train\cat.1450.jpg,5.0691094398498535,0
./dogs-vs-cats-redux-kernels-edition/train\cat.10181.jpg,4.785055637359619,0
./dogs-vs-cats-redux-kernels-edition/train\dog.11731.jpg,4.748743057250977,1
./dogs-vs-cats-redux-kernels-edition/train\cat.7119.jpg,3.910128116607666,0
./dogs-vs-cats-redux-kernels-edition/train\cat.4554.jpg,3.81645131111145,0
./dogs-vs-cats-redux-kernels-edition/train\dog.4334.jpg,3.727231502532959,1
./dogs-vs-cats-redux-kernels-edition/train\dog.254.jpg,3.716747522354126,1
./dogs-vs-cats-redux-kernels-edition/train\dog.313.jpg,3.674621820449829,1
./dogs-vs-cats-redux-kernels-edition/train\dog.1094.jpg,3.6147725582122803,1
./dogs-vs-cats-redux-kernels-edition/train\cat.3822.jpg,3.549388885498047,0
./dogs-vs-cats-redux-kernels-edition/train\dog.669.jpg,3.528012752532959,1
./dogs-vs-cats-redux-kernels-edition/train\cat.5489.jpg,3.421412944793701,0
./dogs-vs-cats-redux-kernels-edition/train\cat.11724.jpg,3.409515857696533,0
./dogs-vs-cats-redux-kernels-edition/train\dog.11104.jpg,3.3064005374908447,1
./dogs-vs-cats-redux-kernels-edition/train\cat.10396.jpg,3.279287099838257,0
./dogs-vs-cats-redux-kernels-edition/train\cat.11567.jpg,3.219634532928467,0
./dogs-vs-cats-redux-kernels-edition/train\dog.10939.jpg,3.2059717178344727,1
./dogs-vs-cats-redux-kernels-edition/train\dog.3655.jpg,3.146366834640503,1
./dogs-vs-cats-redux-kernels-edition/train\dog.1622.jpg,3.122830629348755,1
./dogs-vs-cats-redux-kernels-edition/train\cat.5583.jpg,2.969237804412842,0
./dogs-vs-cats-redux-kernels-edition/train\dog.11320.jpg,2.9472992420196533,1
./dogs-vs-cats-redux-kernels-edition/train\dog.6489.jpg,2.933156728744507,1
./dogs-vs-cats-redux-kernels-edition/train\cat.3477.jpg,2.837381362915039,0
./dogs-vs-cats-redux-kernels-edition/train\cat.9351.jpg,2.816697120666504,0
./dogs-vs-cats-redux-kernels-edition/train\cat.5241.jpg,2.7213311195373535,0
./dogs-vs-cats-redux-kernels-edition/train\dog.11526.jpg,2.682666063308716,1
./dogs-vs-cats-redux-kernels-edition/train\cat.9882.jpg,2.5933566093444824,0
./dogs-vs-cats-redux-kernels-edition/train\dog.10190.jpg,2.5692696571350098,1
./dogs-vs-cats-redux-kernels-edition/train\cat.9469.jpg,2.549659252166748,0
./dogs-vs-cats-redux-kernels-edition/train\cat.5794.jpg,2.527414321899414,0
./dogs-vs-cats-redux-kernels-edition/train\dog.10524.jpg,2.4716780185699463,1
./dogs-vs-cats-redux-kernels-edition/train\dog.8958.jpg,2.4429287910461426,1
./dogs-vs-cats-redux-kernels-edition/train\cat.2337.jpg,2.4016947746276855,0
./dogs-vs-cats-redux-kernels-edition/train\dog.8024.jpg,2.394848346710205,1
./dogs-vs-cats-redux-kernels-edition/train\cat.3531.jpg,2.3829891681671143,0
./dogs-vs-cats-redux-kernels-edition/train\dog.5804.jpg,2.361100435256958,1
./dogs-vs-cats-redux-kernels-edition/train\dog.651.jpg,2.359342575073242,1
./dogs-vs-cats-redux-kernels-edition/train\dog.2739.jpg,2.351747512817383,1
./dogs-vs-cats-redux-kernels-edition/train\cat.11399.jpg,2.3468992710113525,0
